-182.69,23.05,120.5,42.9,-41.83,66.32,19.26,0,0
-187.04,16.68,110.19,49.67,-32.22,60.67,38.86,0,0
-178.37,27.37,128.93,39.26,-51.16,68.94,238.98,0,0
-186.9,16.92,110.5,49.46,-32.49,60.84,340.74,0,0
-159.21,30.35,152.11,35.47,-89.41,70.63,301.02,0,0
-158.0,30.79,152.56,35.84,-90.31,69.8,141.14,0,0
-159.99,30.06,151.8,35.23,-88.82,71.16,100.41,0,0
-186.49,-18.84,53.04,-140.51,-132.15,179.99,198.86,0,0
-187.48,-20.36,51.32,-139.93,-133.18,179.74,260.41,0,0
-185.75,-17.77,54.24,-140.89,-131.43,180.23,340.0,0,0
-143.12,1.05,116.08,-175.17,-65.12,200.44,301.14,0,0
-140.67,-3.04,119.63,-180.0,-57.33,204.93,218.98,0,0
-146.44,3.76,111.73,-170.95,-72.89,196.43,140.74,0,0
-149.02,3.51,111.49,-170.78,-73.28,193.82,101.02,0,0
-144.49,1.01,116.04,-175.11,-65.23,199.05,38.98,0,0
-181.19,-10.87,65.97,-146.87,-123.03,177.92,9.0,0,0
